ANO_ELEICAO;NR_TURNO;TP_ABRANGENCIA;SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;DS_CARGO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;SG_PARTIDO;NM_COLIGACAO;DS_SIT_TOT_TURNO;QT_VOTOS_NOMINAIS;codeIBGE;espectro;pop2020;img;PIB;PIB_agr;PIB_ind;PIB_com;PIB_estatal;micro;meso
2020;1;M;MG;47015;JANAÚBA;147;Prefeito;55;JOSÉ APARECIDO MENDES SANTOS;ZÉ APARECIDO;DEFERIDO;PSD;RECONSTRUÇÃO, JÁ!;ELEITO;11308;3135100;CENTRO ESQUERDA;72018;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psd.png;1293012;39461;171161;639438;308715;Janaúba;Norte de Minas
2020;1;M;MG;42412;CAPARAÓ;303;Prefeito;22;DIÓGENIS DA SILVA MIRANDA;DIOGENIS MIRANDA;DEFERIDO;PL;TODOS UNIDOS PELO PROGRESSO;ELEITO;1249;3112109;DIREITA;5451;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pl.png;61903;9268;2578;20897;25921;Manhuaçu;Zona da Mata
2020;1;M;MG;43753;CORAÇÃO DE JESUS;94;Prefeito;22;ROBSON ADALBERTO MOTA DIAS;ROBINHO DIAS;DEFERIDO;PL;PRO BEM DE CORAÇÃO;ELEITO;5507;3118809;DIREITA;26611;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pl.png;226009;22900;11572;74955;105729;Montes Claros;Norte de Minas
2020;1;M;MG;53872;TRÊS PONTAS;273;Prefeito;55;MARCELO CHAVES GARCIA;MARCELO CHAVES;DEFERIDO;PSD;ACELERA MAIS TRÊS PONTAS;ELEITO;24370;3169406;CENTRO ESQUERDA;56940;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psd.png;1261792;57371;204269;608207;252664;Varginha;Sul/Sudoeste de Minas
2020;1;M;MG;44091;CRISTINA;99;Prefeito;55;RICARDO PEREIRA AZEVEDO;PROFESSOR RICARDO;DEFERIDO;PSD;CRISTINA AVANÇA TRABALHANDO PARA O POVO;ELEITO;3530;3120508;CENTRO ESQUERDA;10226;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psd.png;185072;28792;45052;55035;45407;Itajubá;Sul/Sudoeste de Minas
2020;1;M;MG;52515;SÃO JOÃO DO ORIENTE;128;Prefeito;15;REGILAENE NEDES ALCÂNTARA;REGILAENE DO POSTO;DEFERIDO;MDB;O TRABALHO NÃO PODE PARAR;ELEITO;2927;3162609;DIREITA;7444;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/mdb.png;94145;5504;12929;36596;33416;Caratinga;Vale do Rio Doce
2020;1;M;MG;50512;POUSO ALTO;306;Prefeito;25;VICENTE WAGNER GUIMARAES PEREIRA;VICENTE PE;DEFERIDO;DEM;O POVO FELIZ DE NOVO;ELEITO;2486;3152600;DIREITA;5900;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/dem.png;262679;60965;65477;80214;30530;São Lourenço;Sul/Sudoeste de Minas
2020;1;M;MG;41653;BORDA DA MATA;227;Prefeito;33;AFONSO RAIMUNDO DE SOUZA;AFONSO DA PADARIA;DEFERIDO;PMN;PMN - AVANTE;ELEITO;4285;3108305;CENTRO DIREITA;19614;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pmn.png;321905;12548;51280;148226;81928;Pouso Alegre;Sul/Sudoeste de Minas
2020;1;M;MG;50610;PRESIDENTE BERNARDES;217;Prefeito;45;OLIVIO QUINTAO VIDIGAL NETO;OLIVINHO;DEFERIDO;PSDB;UNIDOS POR UM MUNICIPIO MELHOR;ELEITO;2432;3153103;DIREITA;5341;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psdb.png;53187;6682;2493;15989;25789;Viçosa;Zona da Mata
2020;1;M;MG;53392;SERRANOS;346;Prefeito;11;MARCELO AZEVEDO CARVALHO;MARCELO DA KAKÁ;DEFERIDO;PP;RENOVAÇÃO, MUDANÇA E TRANSPARÊNCIA POR SERRANOS;ELEITO;970;3167004;DIREITA;1956;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pp.png;29297;6430;868;8299;12782;Andrelândia;Sul/Sudoeste de Minas
2020;1;M;MG;48755;MUNHOZ;112;Prefeito;14;DORIVAL AMÂNCIO FROES;VARDÃO;DEFERIDO;PTB;UNIDOS POR MUNHOZ;ELEITO;3186;3143807;CENTRO DIREITA;5994;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/ptb.png;98368;11429;12244;39835;28421;Pouso Alegre;Sul/Sudoeste de Minas
2020;1;M;MG;52531;SÃO JOÃO DO PARAÍSO;237;Prefeito;77;SELMA MARIA MORAIS DOS SANTOS;SELMINHA;DEFERIDO;SOLIDARIEDADE;SÃO JOÃO DO PARAÍSO EM BOAS MÃOS;ELEITO;6521;3162708;CENTRO DIREITA;23709;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/solidariedade.png;235063;30370;16352;80331;95147;Salinas;Norte de Minas
2020;1;M;MG;40878;ARGIRITA;161;Prefeito;51;ALEX ANDRADE ANZOLIN;ALEX;DEFERIDO;PATRIOTA;A UNIÃO QUE O POVO QUER;ELEITO;1450;3104403;DIREITA;2704;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/patriota.png;34671;3957;1220;11389;16167;Cataguases;Zona da Mata
2020;1;M;MG;50016;PIAU;235;Prefeito;15;GILMAR APARECIDO REZENDE DE CASTRO;GILMAR;DEFERIDO;MDB;TODOS JUNTOS POR PIAU;ELEITO;1379;3150109;DIREITA;2733;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/mdb.png;68530;8847;28886;12288;16445;Juiz de Fora;Zona da Mata
2020;1;M;MG;47678;LEOPOLDINA;161;Prefeito;22;PEDRO AUGUSTO JUNQUEIRA FERRAZ;PEDRO AUGUSTO;DEFERIDO;PL;PARTIDO ISOLADO;ELEITO;8926;3138401;DIREITA;52640;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pl.png;1021981;45998;88553;571526;218907;Cataguases;Zona da Mata
2020;1;M;MG;51896;SANTA RITA DO ITUETO;233;Prefeito;20;ODENIR RAPOSO DE OLIVEIRA;ODENIR RAPOSO;DEFERIDO;PSC;RENOVAR PARA TRANSFORMAR;ELEITO;2145;3159506;DIREITA;5457;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psc.png;82883;20980;7432;22072;27708;Aimorés;Vale do Rio Doce
